#{"t_start": 1778690490.875457, "env_id": "None"}
r,l,t
-93.429886,1000,0.711832
-32.45547,1000,0.853208
-26.670046,1000,1.381053
-31.372116,1000,1.517478
-21.089329,1000,2.02919
-21.736183,1000,2.170207
-21.522274,1000,2.687876
-20.928612,1000,2.8299
-20.566816,1000,3.40039
-19.6214,1000,3.537402
-18.039473,1000,4.075227
-17.94238,1000,4.218589
-15.5804205,1000,4.763693
-15.519466,1000,4.90878
-14.564061,1000,5.456339
-14.448291,1000,5.601646
-13.440214,1000,6.152363
-13.327605,1000,6.297953
-12.753523,1000,6.846432
-12.453995,1000,6.989998
-11.252319,1000,7.538132
-11.406103,1000,7.682953
-10.078254,1000,8.227029
-10.106873,1000,8.371621
-10.000474,1000,8.909113
-8.829708,1000,9.051916
-8.198666,1000,9.598144
-7.786442,1000,9.742225
-7.97632,1000,10.277026
-6.964316,1000,10.41595
-7.7423787,1000,10.929801
-6.9858823,1000,11.068675
-6.561361,1000,11.584649
-5.7638116,1000,11.725867
-6.028362,1000,12.246704
-6.1872606,1000,12.409075
-5.5342436,1000,12.977512
-5.344198,1000,13.1295
-5.949563,1000,13.734985
-5.2672186,1000,13.896504
-5.258848,1000,14.518524
-4.753867,1000,14.675222
-4.507085,1000,14.828124
-4.6288567,1000,15.436542
-4.6471343,1000,15.592589
-3.9152985,1000,16.320403
-3.9946373,1000,16.469978
-4.463608,1000,17.132346
-3.9928854,1000,17.32951
-3.808869,1000,17.977273
-3.694274,1000,18.122653
-3.9437099,1000,18.694988
-3.6626387,1000,18.834932
-3.7308109,1000,19.439663
-4.0268645,1000,19.577622
-3.8581316,1000,20.136466
-3.314146,1000,20.27824
-3.6604629,1000,20.810588
-3.7896807,1000,20.950877
-3.9206135,1000,21.472453
-3.2020612,1000,21.611562
-3.0915594,1000,22.135739
-4.2958584,1000,22.28077
-3.2046618,1000,22.831347
-3.1134636,1000,22.97247
-3.1077867,1000,23.533348
-2.7143435,1000,23.693768
-3.8954098,1000,24.277891
-3.292264,1000,24.42182
-3.3076386,1000,25.015652
-3.170717,1000,25.160336
-2.7375834,1000,25.692632
-2.6058323,1000,25.833594
-3.7659798,1000,26.376347
-2.89061,1000,26.588074
-2.9453893,1000,27.227395
-2.3578568,1000,27.372967
-3.3585515,1000,27.955338
-3.1763492,1000,28.10378
-2.6879966,1000,28.783483
-2.6856513,1000,28.933606
-2.7191567,1000,29.541805
-3.0099277,1000,29.764038
-2.6678686,1000,30.313512
-2.8857527,1000,30.45834
-2.973841,1000,30.602904
-2.5265956,1000,31.186936
-3.5727162,1000,31.340326
-2.8247838,1000,31.967927
-3.1337488,1000,32.130115
-3.012232,1000,32.708474
-3.11491,1000,32.869495
-2.5780756,1000,33.507101
-2.6055279,1000,33.667577
-3.0318742,1000,34.276326
-2.8032377,1000,34.42834
-3.6286027,1000,34.997693
-3.1446924,1000,35.14025
-3.6805053,1000,35.683954
-3.1163292,1000,35.826721
-3.1718667,1000,36.388032
-2.7673552,1000,36.554164
-3.21152,1000,37.11054
-2.5730026,1000,37.254711
-2.7963128,1000,37.869205
-2.6998806,1000,38.027892
-3.0163202,1000,38.569322
-3.055581,1000,38.715373
-2.7281992,1000,39.261266
-3.8240821,1000,39.406463
-2.6049798,1000,39.97846
-2.0376801,1000,40.131128
-2.934978,1000,40.700446
-2.6343198,1000,40.847674
-2.428162,1000,41.406731
-3.0538976,1000,41.548731
-2.8213022,1000,42.129953
-2.820719,1000,42.275731
-3.6440134,1000,42.840048
-3.201756,1000,42.984125
-3.2096255,1000,43.559348
-2.8444142,1000,43.721151
-4.034812,1000,44.314829
-2.3149173,1000,44.458301
-3.7393537,1000,45.083146
-2.396048,1000,45.299028
-2.7522955,1000,45.925215
-2.5723364,1000,46.096484
-3.0586486,1000,46.252685
-2.4518898,1000,46.819917
-3.0332375,1000,46.967242
-3.050798,1000,47.549639
-2.514322,1000,47.704306
-2.1815255,1000,48.326705
-2.4891198,1000,48.474119
-2.5341034,1000,49.021149
-2.9572065,1000,49.165815
-2.7803192,1000,49.707859
-2.4071317,1000,49.880455
-2.8237488,1000,50.428202
-3.0372448,1000,50.574013
-2.665203,1000,51.139094
-2.6807199,1000,51.284134
-2.6829102,1000,51.864853
-2.9138274,1000,52.012128
-2.5734441,1000,52.586173
-2.4707632,1000,52.783115
-2.9956863,1000,53.496864
-2.5492134,1000,53.658405
-3.1845412,1000,54.269704
-2.9862401,1000,54.434842
-2.7374823,1000,55.02421
-2.4835758,1000,55.173716
-2.4592376,1000,55.817321
-2.673157,1000,55.974798
-2.609045,1000,56.570439
-3.0359507,1000,56.747424
-3.1152446,1000,57.414
-2.4152362,1000,57.570812
-2.3747237,1000,58.171869
-2.914493,1000,58.329045
-2.4541276,1000,59.0843
-2.5301435,1000,59.247357
-2.2977242,1000,59.846722
-2.3630881,1000,59.999075
-2.2178657,1000,60.613922
-2.4179592,1000,60.770038
-2.9078712,1000,61.373299
-2.8224654,1000,61.521274
-3.232707,1000,62.078788
-2.8389866,1000,62.226988
-2.2772784,1000,62.377803
-3.0708985,1000,62.973822
-2.616171,1000,63.116867
-2.6309495,1000,63.676145
-3.0293543,1000,63.838036
-2.4551518,1000,64.412785
-2.7588181,1000,64.5572
-2.8315315,1000,65.140574
-2.2721407,1000,65.287479
-2.738699,1000,65.85559
-2.5911696,1000,66.006406
-2.1517792,1000,66.572531
-2.2211344,1000,66.722748
-2.6911404,1000,67.399686
-3.0136275,1000,67.566884
-2.890949,1000,68.161005
-2.8860714,1000,68.31012
-2.7559772,1000,68.966959
-2.641496,1000,69.146127
-2.7054248,1000,69.823696
-2.3493922,1000,70.014531
-2.3976245,1000,70.612238
-2.4693916,1000,70.778789
-3.2010906,1000,71.341054
-2.4542956,1000,71.488573
-2.5533974,1000,72.036699
-2.266887,1000,72.182525
-2.1934679,1000,72.754159
-2.4328954,1000,72.900145
-2.2538435,1000,73.470041
-2.603526,1000,73.620218
-2.2850976,1000,74.20445
-2.2779765,1000,74.355444
-2.7583973,1000,74.947012
-2.9279118,1000,75.097034
-2.5396647,1000,75.704915
-2.8225532,1000,75.86944
-2.548991,1000,76.481035
-2.5566936,1000,76.633598
-2.7949622,1000,77.218118
-2.9020755,1000,77.368762
-3.3539562,1000,77.949385
-2.344023,1000,78.102325
-2.7168374,1000,78.24911
-2.8021486,1000,78.794963
-2.1938615,1000,78.941204
-2.385424,1000,79.479643
-2.4598365,1000,79.62428
-2.0752845,1000,80.197421
-2.164458,1000,80.349739
-2.5997367,1000,80.979121
-2.9610434,1000,81.131054
-2.7349498,1000,81.687328
-2.325721,1000,81.830965
-2.4253721,1000,82.377852
-2.664791,1000,82.521482
-3.2455769,1000,83.079382
-2.3807085,1000,83.227514
-3.005364,1000,83.755111
-2.2686005,1000,83.8932
-2.564266,1000,84.450261
-2.3906782,1000,84.596548
-2.3881116,1000,85.18532
-2.6119885,1000,85.340502
-2.3920758,1000,85.938184
-2.6624222,1000,86.084247
-2.4505744,1000,86.677136
-2.2836013,1000,86.824423
-2.6998794,1000,87.47919
-2.7529082,1000,87.625092
-2.2810135,1000,88.183957
-2.6853037,1000,88.321698
-2.5638,1000,88.95122
-2.3329222,1000,89.095926
-2.1722832,1000,89.663184
-1.9956397,1000,89.802808
-2.3000288,1000,90.3824
-2.0107658,1000,90.52974
-2.1127377,1000,91.121034
-2.477649,1000,91.275567
-2.7499359,1000,91.818652
-2.6251884,1000,91.959437
-2.4809265,1000,92.505972
-1.9747342,1000,92.652096
-2.3691022,1000,92.792405
-2.9815967,1000,93.337832
-2.43111,1000,93.478635
-2.3726234,1000,94.005578
-2.0663583,1000,94.149028
-2.2720428,1000,94.746115
-2.502157,1000,94.892307
-2.4839551,1000,95.468362
-2.0605145,1000,95.608996
-1.9022905,1000,96.140502
-2.2191973,1000,96.279252
-3.1156526,1000,96.798494
-2.181897,1000,96.937538
-2.3726234,1000,97.449325
-2.2144673,1000,97.588555
-2.7070017,1000,98.094966
-2.3437026,1000,98.231892
-2.009948,1000,98.751853
-2.8528094,1000,98.902223
-1.7439976,1000,99.454995
-1.9069955,1000,99.596625
-1.9626088,1000,100.135007
-1.9675224,1000,100.279755
-2.8181276,1000,100.82214
-1.8117311,1000,100.963493
-2.9890158,1000,101.483323
-2.2629702,1000,101.623821
-2.2916646,1000,102.137673
-2.2359884,1000,102.277637
-1.9915609,1000,102.814034
-2.133645,1000,102.952319
-2.2541814,1000,103.465785
-2.7324657,1000,103.642312
-1.9969121,1000,104.162808
-2.3535743,1000,104.309053
-1.8477508,1000,104.868035
-1.9374074,1000,105.014445
-2.8168166,1000,105.570239
-2.3017218,1000,105.724702
-2.354989,1000,106.293607
-1.9480892,1000,106.439472
-2.13264,1000,107.000845
-1.9818883,1000,107.142772
-1.9993689,1000,107.285447
-2.776777,1000,107.810011
-2.379139,1000,107.950274
-2.4618087,1000,108.495305
-2.5355003,1000,108.635594
-1.9817033,1000,109.170406
-2.2440155,1000,109.319591
-2.3231802,1000,109.861676
-2.0817435,1000,110.003828
-2.2973,1000,110.514764
-2.4250586,1000,110.652365
-2.4855464,1000,111.158396
-2.5998778,1000,111.297872
-3.169829,1000,111.805174
