#{"t_start": 1778693715.6052082, "env_id": "None"}
r,l,t
-57.201782,482,0.604771
-21.97019,1000,0.748116
-214.5413,307,0.792029
-24.309214,1000,1.354179
-25.700094,1000,1.495842
-323.7783,1000,2.026954
-20.493587,1000,2.177168
-23.768023,1000,2.752048
-20.393156,1000,2.900227
-137.55261,1000,3.460202
-20.23328,1000,3.615503
-51.01449,281,3.661065
-40.87263,350,4.120615
-27.376717,1000,4.261647
-20.957588,1000,4.827275
-27.52481,1000,4.9759
-22.67457,1000,5.556293
-15.718192,1000,5.707207
-20.028086,1000,6.295515
-16.636145,1000,6.440888
-23.639944,1000,6.58636
-15.3312845,1000,7.265306
-13.640191,1000,7.407024
-12.89754,1000,7.955928
-14.402915,1000,8.10576
-15.838537,1000,8.635807
-11.979165,1000,8.785696
-14.104285,1000,9.332064
-10.465563,1000,9.471195
-11.771825,1000,9.997258
-11.7379265,1000,10.146071
-9.459314,1000,10.658239
-15.651844,1000,10.796932
-7.92196,1000,11.338688
-8.648687,1000,11.478016
-11.180828,1000,11.988109
-8.452222,1000,12.125859
-11.24201,1000,12.628708
-8.395815,1000,12.766993
-6.876639,1000,13.272792
-13.703232,1000,13.412523
-11.192048,1000,13.920323
-8.56714,1000,14.060202
-7.6353626,1000,14.555603
-8.326996,1000,14.697923
-7.438798,1000,15.198255
-8.878529,1000,15.333491
-6.2011995,1000,15.835024
-6.188883,1000,15.974119
-8.492205,1000,16.479559
-5.9775643,1000,16.616862
-11.081204,1000,17.119468
-5.6575704,1000,17.274056
-9.805197,1000,17.835671
-9.222548,1000,17.977162
-8.101047,1000,18.475624
-13.44933,1000,18.611369
-5.5993495,1000,19.110228
-4.1029763,1000,19.246544
-6.2092013,1000,19.740241
-4.3840365,1000,19.876498
-5.841975,1000,20.371766
-5.281459,1000,20.510896
-4.492226,1000,20.645445
-3.5594945,1000,21.232511
-6.494954,1000,21.370937
-5.1605444,1000,21.895917
-3.092763,1000,22.035058
-5.0755568,1000,22.535711
-3.5016623,1000,22.67556
-4.9837184,1000,23.194185
-9.564166,1000,23.331014
-7.341063,1000,23.831418
-4.8951373,1000,23.973045
-9.207672,1000,24.473158
-2.644552,1000,24.60762
-9.149404,1000,25.109261
-6.9036202,1000,25.243311
-4.15765,1000,25.743612
-2.6173184,1000,25.878646
-4.979366,1000,26.377001
-4.179722,1000,26.513342
-6.367073,1000,27.016004
-6.563924,1000,27.149847
-7.482821,1000,27.646252
-9.120814,1000,27.782214
-5.370083,1000,28.283747
-6.364891,1000,28.419166
-7.2331357,1000,28.933481
-4.9872904,1000,29.074109
-6.1683474,1000,29.573589
-5.347109,1000,29.711469
-5.557084,1000,30.215735
-11.66826,1000,30.351998
-6.3890295,1000,30.852416
-7.704392,1000,30.993485
-13.385939,1000,31.492723
-4.161977,1000,31.628999
-8.795927,1000,32.133775
-7.717308,1000,32.269866
-5.379986,1000,32.76704
-8.288306,1000,32.906114
-5.528702,1000,33.40425
-2.1004784,1000,33.541178
-6.8229566,1000,34.046297
-2.4090261,1000,34.180514
-3.6461864,1000,34.315378
-5.3451614,1000,34.812317
-7.325705,1000,34.949703
-5.826855,1000,35.447696
-7.576577,1000,35.584477
-2.8145723,1000,36.084526
-2.6369958,1000,36.217184
-1.641058,1000,36.712275
-3.5974317,1000,36.845235
-4.0720115,1000,37.348044
-2.1913455,1000,37.484599
-3.3933272,1000,37.989671
-3.58551,1000,38.124378
-2.667544,1000,38.622819
-7.6186604,1000,38.757708
-4.4586515,1000,39.263727
-10.732489,1000,39.399549
-1.6900144,1000,39.897974
-8.348168,1000,40.034231
-3.5553987,1000,40.548573
-4.8559813,1000,40.685849
-7.8437343,1000,41.205917
-11.683668,1000,41.344308
-6.18142,1000,41.844893
-5.9015875,1000,41.985568
-2.7584107,1000,42.506773
-9.187585,1000,42.643813
-6.003585,1000,43.150888
-6.9343944,1000,43.28745
-5.600594,1000,43.819615
-6.615206,1000,43.96015
-3.981191,1000,44.481594
-2.1662405,1000,44.619112
-3.735448,1000,45.1288
-3.019892,1000,45.266467
-2.9746103,1000,45.774137
-4.7002797,1000,45.912427
-6.6144023,1000,46.414536
-5.796217,1000,46.551788
-4.2806163,1000,47.057303
-4.7996426,1000,47.19307
-8.8936615,1000,47.694062
-2.501039,1000,47.828778
-3.1536787,1000,47.971104
-5.0762606,1000,48.472872
-1.9221551,1000,48.607931
-14.049684,1000,49.152462
-1.925054,1000,49.295176
-7.0969763,1000,49.799575
-2.511579,1000,49.940708
-3.4676518,1000,50.444794
-7.3365436,1000,50.581571
-3.5680225,1000,51.097979
-2.965433,1000,51.24164
-4.601095,1000,51.746804
-7.3386507,1000,51.883389
-5.901795,1000,52.390035
-1.3632139,1000,52.535254
-6.9444203,1000,53.052189
-2.7859411,1000,53.189181
-4.1370034,1000,53.718677
-4.9897823,1000,53.854867
-3.6008964,1000,54.363213
-233.81215,1000,54.500201
-2.5456932,1000,55.004874
-6.661432,1000,55.142376
-3.6460464,1000,55.645488
-2.570447,1000,55.781376
-4.3622575,1000,56.28381
-2.5443406,1000,56.41791
-3.050513,1000,56.943959
-6.3905582,1000,57.079967
-3.7695105,1000,57.578305
-5.0105634,1000,57.713137
-1.8134477,1000,58.237833
-2.843557,1000,58.373942
-1.7599525,1000,58.893156
-4.4291296,1000,59.035788
-4.0939593,1000,59.543212
-4.1285176,1000,59.68032
-7.156031,1000,60.186964
-2.6459856,1000,60.324385
-2.191374,1000,60.833254
-1.6175047,1000,60.975037
-4.6311107,1000,61.48272
-7.5646634,1000,61.621216
-3.6955209,1000,61.759452
-8.229991,1000,62.26972
-2.4022884,1000,62.406173
-3.6784842,1000,62.913152
-7.3782077,1000,63.052805
-4.077643,1000,63.626528
-4.2006006,1000,63.76661
-9.820311,1000,64.269789
-2.8706834,1000,64.403117
-3.0545495,1000,64.901666
-4.6936226,1000,65.040041
-4.630504,1000,65.554378
-1.5533144,1000,65.691281
-6.855692,1000,66.267563
-4.6524363,1000,66.40374
-9.063237,1000,66.912155
-6.418364,1000,67.052323
-9.761688,1000,67.557764
-2.5827167,1000,67.693381
-2.1622481,1000,68.202091
-2.0859118,1000,68.340011
-3.7718763,1000,68.840978
-0.89658797,1000,68.979685
-4.2598696,1000,69.47997
-3.130477,1000,69.615443
-2.6784182,1000,70.138565
-1.9428265,1000,70.275073
-1.604523,1000,70.779032
-2.3048325,1000,70.91714
-1.2798258,1000,71.436015
-1.8096045,1000,71.573436
-1.847644,1000,72.077762
-3.2571254,1000,72.214228
-0.9642823,1000,72.729008
-13.266104,1000,72.865772
-4.402181,1000,73.370283
-2.1748304,1000,73.506551
-3.9085498,1000,74.017673
-1.7933449,1000,74.155617
-6.4377427,1000,74.658265
-1.8772763,1000,74.794577
-3.81606,1000,74.934161
-1.167354,1000,75.441868
-1.4660234,1000,75.578983
-4.018218,1000,76.082562
-7.584679,1000,76.218581
-4.3357925,1000,76.719422
-5.261998,1000,76.853767
-2.4458172,1000,77.42388
-2.7538383,1000,77.560504
-2.797527,1000,78.074427
-3.8004704,1000,78.210237
-3.1675696,1000,78.713005
-1.7117885,1000,78.851776
-2.506283,1000,79.349597
-3.4143026,1000,79.486159
-9.397283,1000,79.990818
-3.2194324,1000,80.127707
-1.113413,1000,80.631072
-5.918003,1000,80.767207
-3.785193,1000,81.284403
-2.7403643,1000,81.422603
-3.4093971,1000,81.962637
-8.484058,1000,82.104137
-2.7983391,1000,82.614017
-1.7213335,1000,82.75224
-1.5203222,1000,83.26609
-5.6466055,1000,83.402025
-4.0638304,1000,83.912275
-2.0657988,1000,84.047845
-2.1993651,1000,84.553176
-1.6972135,1000,84.689472
-3.3240519,1000,85.200968
-1.7392647,1000,85.336167
-4.881253,1000,85.838155
-3.4366996,1000,85.976294
-5.1626463,1000,86.473572
-2.034296,1000,86.609068
-3.050388,1000,87.110746
-1.7131164,1000,87.246783
-1.0312002,1000,87.74663
-3.3938763,1000,87.883468
-2.690378,1000,88.399892
-3.13703,1000,88.537722
-1.8340642,1000,88.673447
-4.875825,1000,89.201308
-3.7938056,1000,89.338088
-5.883304,1000,89.843028
-5.665774,1000,90.00765
-2.610469,1000,90.511875
-6.3712254,1000,90.646768
-5.2153673,1000,91.157682
-3.6495328,1000,91.309307
-2.476502,1000,91.809052
-11.603538,1000,91.949699
-4.999409,1000,92.450516
-4.6429725,1000,92.58659
-3.0144613,1000,93.092455
-4.2404766,1000,93.227758
-1.5412415,1000,93.75145
-4.456914,1000,93.892411
-1.3190694,1000,94.394293
-1.8419415,1000,94.531468
-3.344694,1000,95.035179
-1.9491935,1000,95.171465
-1.6717988,1000,95.671838
-2.754218,1000,95.807354
-4.98373,1000,96.311222
-3.1060543,1000,96.448019
-6.0832324,1000,96.956596
-1.8469595,1000,97.093443
-7.1914377,1000,97.593687
-6.3075976,1000,97.728816
-4.4108896,1000,98.255298
-8.727272,1000,98.39146
-2.072766,1000,98.893049
-4.6224356,1000,99.029598
-3.1952388,1000,99.543601
-6.2616773,1000,99.682317
-3.9215403,1000,100.186077
-0.7782294,1000,100.324194
-2.4304001,1000,100.828535
-3.3486462,1000,100.968728
-1.0025501,1000,101.476736
-3.6205328,1000,101.628488
-5.1977224,1000,102.136616
-3.298388,1000,102.2735
-1.4641371,1000,102.409651
-7.8905787,1000,102.91754
-2.6649828,1000,103.053855
-0.92900455,1000,103.55159
-2.7268481,1000,103.687818
-0.9877411,1000,104.200536
-2.3132806,1000,104.337522
-2.985339,1000,104.841178
-0.9401651,1000,104.978945
-2.241031,1000,105.482386
-4.5658894,1000,105.61756
-7.3850055,1000,106.120962
-1.7851394,1000,106.256374
-2.065688,1000,106.759342
-2.9574647,1000,106.897205
-2.3216913,1000,107.405428
-2.6975174,1000,107.541931
-4.701326,1000,108.052821
-2.3151672,1000,108.189079
-1.9369329,1000,108.690355
-6.473775,1000,108.82568
-2.7676497,1000,109.323814
-3.562945,1000,109.458949
-1.0884373,1000,109.962619
-3.2961535,1000,110.098663
-3.3550825,1000,110.60476
-1.6803014,1000,110.745145
-2.5653198,1000,111.276089
-0.8613617,1000,111.414094
-9.188389,1000,111.915448
-2.0586028,1000,112.051633
-2.2439165,1000,112.569533
-4.171717,1000,112.705482
-2.8357,1000,113.217807
-9.118364,1000,113.353615
-5.16862,1000,113.854297
-1.7725508,1000,113.994477
-1.355249,1000,114.494382
-2.080281,1000,114.629757
-2.1453395,1000,115.133874
-2.0921197,1000,115.270423
-4.677161,1000,115.770612
-3.258085,1000,115.91014
-1.2023774,1000,116.046646
-5.600737,1000,116.547977
-1.0392673,1000,116.684657
-2.4045563,1000,117.191665
-4.7657213,1000,117.325637
-1.7977391,1000,117.825434
-5.2129064,1000,117.964374
-7.0642333,1000,118.464743
-4.200822,1000,118.600697
-5.1394515,1000,119.126498
-1.574771,1000,119.263221
-2.9141514,1000,119.854181
-6.2235365,1000,119.993052
-3.7373104,1000,120.497392
-3.7125204,1000,120.633577
-3.3697178,1000,121.162189
-3.6528327,1000,121.298551
-5.921137,1000,121.798652
-5.603067,1000,121.939647
-2.203163,1000,122.447102
-8.632434,1000,122.582518
-1.5622115,1000,123.094849
