#{"t_start": 1778693527.876768, "env_id": "None"}
r,l,t
-6.9424033,1000,77.698498
-1.8403312,1000,78.220341
-5.8960304,1000,78.357326
-5.8076897,1000,78.868033
-9.763753,1000,79.00833
-2.798352,1000,79.515254
-6.423213,1000,79.654638
-4.215684,1000,80.165786
-9.598016,1000,80.30308
-2.2660127,1000,80.812598
-5.485253,1000,80.950122
-3.7089996,1000,81.458809
-3.0485756,1000,81.597053
-3.8442855,1000,82.114779
-2.2659247,1000,82.253033
-2.6519434,1000,82.760385
-7.310788,1000,82.897761
-7.880393,1000,83.035049
-2.1586962,1000,83.544512
-1.6042486,1000,83.684618
-4.533766,1000,84.191495
-3.6098056,1000,84.328068
-4.862736,1000,84.84132
-5.2193775,1000,84.979186
-4.7257357,1000,85.500183
-0.9262014,1000,85.642548
-2.6764638,1000,86.152179
-2.836232,1000,86.292138
-2.4621625,1000,86.802814
-2.2201097,1000,86.941523
-4.607773,1000,87.46618
-4.5682173,1000,87.604615
-4.1801143,1000,88.12399
-1.0879681,1000,88.263258
-1.551084,1000,88.791746
-3.8438175,1000,88.937004
-2.180779,1000,89.451847
-4.1947803,1000,89.590011
-7.0044284,1000,90.102979
-2.7350807,1000,90.241996
-1.9863421,1000,90.756842
-2.1407943,1000,90.896551
-9.716523,1000,91.405081
-5.3272057,1000,91.544443
-2.6354105,1000,92.070058
-3.4221609,1000,92.216107
-0.9297181,1000,92.800729
-8.417695,1000,92.946153
-4.7605305,1000,93.549142
-4.7899203,1000,93.711254
-2.6325843,1000,94.288972
-1.6195178,1000,94.476777
-3.9435637,1000,95.039862
-3.6614244,1000,95.194584
-1.739872,1000,95.759481
-7.6241693,1000,95.898507
-1.3759117,1000,96.417418
-4.5934744,1000,96.57239
-1.1730682,1000,97.140262
-4.0428114,1000,97.290478
-1.9612273,1000,97.431069
-6.3043356,1000,97.946723
-7.218926,1000,98.083491
-3.0238087,1000,98.595349
-1.3966258,1000,98.740124
-10.20242,1000,99.25284
-2.577797,1000,99.387412
-8.287219,1000,99.902422
-0.94869846,1000,100.039166
-7.111233,1000,100.600867
-7.923304,1000,100.746138
-4.961114,1000,101.254807
-4.213822,1000,101.392374
-0.7807125,1000,101.904819
-11.519921,1000,102.042447
-2.9932313,1000,102.546768
-4.1056733,1000,102.687015
-2.4306545,1000,103.196572
-4.92129,1000,103.334351
-4.7593455,1000,103.84454
-7.4474216,1000,103.983588
-2.5507076,1000,104.506734
-1.6772386,1000,104.645525
-8.772872,1000,105.153192
-3.2428622,1000,105.290849
-2.5486324,1000,105.799241
-3.3048308,1000,105.93744
-1.0517721,1000,106.490646
-4.1386585,1000,106.632762
-2.514969,1000,107.148594
-4.010343,1000,107.285532
-1.7636434,1000,107.790555
-6.126118,1000,107.926914
-2.8071115,1000,108.435826
-2.2358775,1000,108.572412
-5.3028564,1000,109.0908
-4.8587594,1000,109.245032
-3.7044177,1000,109.835718
-2.0774074,1000,109.982263
-3.2097955,1000,110.551186
-3.7352927,1000,110.705011
-1.047927,1000,111.285765
-3.601944,1000,111.452571
-1.8619571,1000,111.637946
-3.4979444,1000,112.188538
-1.7795264,1000,112.337599
-5.331012,1000,112.941252
-1.531823,1000,113.126569
-8.904981,1000,113.71951
-3.4975975,1000,113.875294
-6.5302253,1000,114.515734
-4.9276757,1000,114.666028
-5.2854795,1000,115.242497
-6.921265,1000,115.392135
-5.429799,1000,115.950622
-1.6211911,1000,116.092403
-1.2908436,1000,116.609079
-7.955502,1000,116.751045
-1.7094308,1000,117.263935
-3.35047,1000,117.403135
-2.484616,1000,117.918154
-5.5845046,1000,118.056151
-4.880976,1000,118.576577
-8.95771,1000,118.724378
-2.704641,1000,119.248197
-2.0240364,1000,119.385766
-1.8419842,1000,119.930754
-0.81889695,1000,120.069422
-1.9855078,1000,120.583358
-2.2702522,1000,120.723549
-1.2539867,1000,121.228737
-4.435037,1000,121.366829
-5.069071,1000,121.876148
-4.2018604,1000,122.014821
-4.0222607,1000,122.518943
-0.97793317,1000,122.659992
-2.7486734,1000,123.168069
-5.0629945,1000,123.305343
-3.3415754,1000,123.826845
-2.4802034,1000,123.97303
-0.86382365,1000,124.574787
-0.8380329,1000,124.792678
-4.512107,1000,125.355813
-1.6727957,1000,125.499263
-4.622955,1000,125.649831
-5.0626025,1000,126.200337
-1.801026,1000,126.347179
-1.8790853,1000,126.913831
-5.4948044,1000,127.059664
-7.4621596,1000,127.590519
-5.531695,1000,127.742026
-1.1835533,1000,128.396809
-5.323013,1000,128.549074
-1.9037637,1000,129.140261
-4.961729,1000,129.37071
-6.387414,1000,129.973038
-3.910741,1000,130.125
-6.4110293,1000,130.853197
-2.5024517,1000,131.019951
-5.8253007,1000,131.744538
-1.7393345,1000,131.894331
-2.3879507,1000,132.48743
-7.8147683,1000,132.637438
-5.9112062,1000,133.257568
-5.591547,1000,133.413077
-2.4613643,1000,134.009013
-4.9756694,1000,134.168239
-2.3598552,1000,134.730771
-5.8150125,1000,134.873264
-4.1917486,1000,135.440025
-7.274557,1000,135.577845
-3.6147242,1000,136.13417
-1.2588719,1000,136.287197
-6.8868313,1000,136.880699
-9.064932,1000,137.033374
-3.286316,1000,137.581754
-2.8039324,1000,137.734731
-11.354144,1000,138.325429
-5.639086,1000,138.476542
-1.1311988,1000,139.041066
-8.381847,1000,139.183767
-1.5831383,1000,139.757046
-8.753142,1000,139.907967
-6.873292,1000,140.484164
-7.980449,1000,140.63094
-2.2662625,1000,141.163491
-1.1501513,1000,141.314916
-3.417027,1000,141.46513
-1.7196289,1000,142.01401
-5.858596,1000,142.16322
-6.5773926,1000,142.688829
-7.919601,1000,142.82717
-2.0174522,1000,143.377701
-5.4604583,1000,143.522512
-4.111628,1000,144.056132
-6.4509797,1000,144.195752
-5.407073,1000,144.708468
-2.7648416,1000,144.847834
-1.8199906,1000,145.387829
-0.68578726,1000,145.532401
-3.4597328,1000,146.130348
-10.318379,1000,146.280413
-4.2174854,1000,146.823816
-2.50378,1000,146.969322
-2.4507544,1000,147.538283
-1.6966431,1000,147.685166
-2.8987246,1000,148.248342
-7.9709277,1000,148.393706
-5.9585257,1000,148.959047
-3.9082377,1000,149.10514
-1.0442492,1000,149.642713
-1.4698231,1000,149.788507
-0.9645248,1000,150.338399
-3.7761562,1000,150.484553
-3.302854,1000,151.018409
-3.2462282,1000,151.158164
-3.4434905,1000,151.674216
-2.5319302,1000,151.810513
-4.5926175,1000,152.361942
-0.94537556,1000,152.507816
-5.937841,1000,153.151638
-3.1620164,1000,153.304224
-3.990011,1000,153.92557
-3.7414234,1000,154.162695
-3.3748055,1000,154.748777
-3.036899,1000,154.896005
-1.8342146,1000,155.490881
-6.2613115,1000,155.650245
-4.3235717,1000,156.288873
-1.0369014,1000,156.449149
-2.56852,1000,156.622341
-6.7492285,1000,157.240773
-2.619594,1000,157.391019
-7.9133677,1000,158.085169
-8.607597,1000,158.226698
-3.1761074,1000,158.832135
-4.7678723,1000,158.983119
-6.5273623,1000,159.557855
-3.7893164,1000,159.702674
-1.9062631,1000,160.324983
-4.082761,1000,160.482907
-2.8671727,1000,161.062912
-10.629606,1000,161.219881
-4.1044426,1000,161.825369
-5.3650694,1000,161.976143
-2.2498016,1000,162.527933
-1.9863272,1000,162.673077
-2.7556715,1000,163.197022
-1.0486882,1000,163.338898
-2.687147,1000,163.853315
-4.5498137,1000,163.991718
-2.5913255,1000,164.523604
-3.3206418,1000,164.667837
-3.8494124,1000,165.207903
-1.9383024,1000,165.368893
-4.04792,1000,166.086756
-2.5984435,1000,166.24007
-3.360478,1000,166.817699
-0.7453083,1000,166.966008
-6.158111,1000,167.52906
-1.2490333,1000,167.673948
-6.091715,1000,168.227138
-1.4935106,1000,168.371875
-5.8894258,1000,168.948599
-11.332081,1000,169.108832
-3.9486747,1000,169.765427
-1.2417412,1000,169.912832
-2.4377525,1000,170.515147
-1.744275,1000,170.683189
-0.59671223,1000,171.284332
-4.714465,1000,171.481036
-1.2478623,1000,172.045575
-3.901394,1000,172.190284
-5.2916093,1000,172.351678
-4.399307,1000,172.95854
-3.8259308,1000,173.111684
-0.7708306,1000,173.731323
-2.1945372,1000,173.874842
-3.5229628,1000,174.491934
-0.50303674,1000,174.644126
-4.550112,1000,175.217318
-4.8536015,1000,175.358802
-2.4609036,1000,175.933834
-1.6000623,1000,176.080437
