#{"t_start": 1778693341.135875, "env_id": "None"}
r,l,t
-3.8891003,1000,76.542974
-2.5244424,1000,77.077491
-3.1935153,1000,77.238259
-2.1712124,1000,77.8646
-2.6183553,1000,78.051127
-2.6722775,1000,78.62009
-2.9536188,1000,78.768433
-2.4312422,1000,79.312797
-3.2514703,1000,79.461569
-3.0907714,1000,80.088672
-2.3660767,1000,80.233403
-2.3915985,1000,80.82731
-2.7585816,1000,80.976213
-2.9925263,1000,81.626255
-2.4575486,1000,81.774689
-2.672388,1000,82.37336
-3.1442184,1000,82.590964
-2.3710613,1000,82.743635
-3.1775556,1000,83.31304
-3.030129,1000,83.467496
-2.2376747,1000,84.032936
-2.6269996,1000,84.176022
-2.422092,1000,84.736975
-3.0838003,1000,84.882992
-2.3546407,1000,85.420798
-2.8947783,1000,85.559955
-2.2271364,1000,86.113585
-2.3578115,1000,86.253834
-2.3521068,1000,86.971106
-3.1363575,1000,87.108253
-2.4349296,1000,87.656187
-2.385253,1000,87.80633
-2.3154242,1000,88.33106
-2.1284616,1000,88.474775
-3.4477258,1000,89.03355
-2.313809,1000,89.172795
-2.693387,1000,89.737442
-2.7115076,1000,89.876981
-2.8067517,1000,90.498258
-2.5935233,1000,90.646165
-3.7249792,1000,91.188824
-3.17814,1000,91.330723
-2.7465298,1000,91.849029
-3.095845,1000,91.984641
-2.7152672,1000,92.554054
-2.0818336,1000,92.698455
-2.8354437,1000,93.222957
-2.287233,1000,93.363464
-2.3586013,1000,93.889353
-2.6146288,1000,94.030007
-3.0679274,1000,94.554519
-2.7864816,1000,94.694175
-2.479616,1000,95.234313
-2.2068791,1000,95.374597
-2.4937267,1000,95.921828
-2.8684783,1000,96.064146
-3.4565508,1000,96.576061
-2.3755238,1000,96.710816
-2.9622414,1000,97.219017
-2.9757485,1000,97.35547
-2.6674275,1000,97.495122
-2.074755,1000,98.017088
-2.982037,1000,98.150116
-3.1110873,1000,98.659347
-2.6405394,1000,98.793342
-2.8369179,1000,99.291773
-2.7194026,1000,99.42909
-2.810412,1000,99.95077
-3.0403063,1000,100.089716
-3.49792,1000,100.681447
-2.4982312,1000,100.819173
-3.2902083,1000,101.3916
-2.0775268,1000,101.529286
-2.0478556,1000,102.029023
-2.5474336,1000,102.190225
-2.3983543,1000,102.714082
-2.6724403,1000,102.876396
-2.1013973,1000,103.496664
-2.070756,1000,103.64151
-3.0252116,1000,104.169815
-2.5550475,1000,104.309203
-2.9605281,1000,104.845397
-2.761313,1000,104.985588
-2.1662712,1000,105.524572
-2.427939,1000,105.667452
-2.9280717,1000,106.20087
-2.6620183,1000,106.344233
-2.0952103,1000,106.891222
-2.4454215,1000,107.03361
-2.6682713,1000,107.655863
-3.326635,1000,107.839079
-2.8620672,1000,108.371623
-2.4826517,1000,108.517715
-3.1028554,1000,109.048626
-1.9865495,1000,109.183713
-2.6821132,1000,109.712255
-2.2975016,1000,109.854459
-2.6421776,1000,110.388626
-2.8406672,1000,110.534456
-2.5517685,1000,111.074947
-2.214577,1000,111.216732
-2.3980505,1000,111.786269
-2.5875325,1000,111.931147
-2.3668566,1000,112.07236
-2.2554295,1000,112.615001
-1.7613865,1000,112.756887
-1.9222407,1000,113.378192
-2.6752641,1000,113.520899
-2.4315698,1000,114.079584
-2.1317601,1000,114.221738
-2.5201848,1000,114.763688
-2.2633662,1000,114.906032
-2.33548,1000,115.44503
-2.348306,1000,115.587023
-2.7317662,1000,116.132092
-2.2034318,1000,116.272024
-2.8972502,1000,116.822687
-2.0866065,1000,116.966126
-2.6393888,1000,117.5869
-3.2351542,1000,117.7357
-2.4375606,1000,118.425874
-2.809881,1000,118.584293
-2.1176293,1000,119.152398
-2.5613143,1000,119.306771
-2.458783,1000,119.938569
-2.2011576,1000,120.088213
-1.9257458,1000,120.680493
-2.2847972,1000,120.832595
-2.1330397,1000,121.435845
-2.7047632,1000,121.582725
-2.1835623,1000,122.13645
-2.3715653,1000,122.281484
-1.9396509,1000,122.856597
-2.529512,1000,122.996342
-2.019674,1000,123.623778
-2.1833782,1000,123.764684
-2.740159,1000,124.29505
-2.9015815,1000,124.442487
-3.471884,1000,124.965674
-2.1753495,1000,125.104257
-2.277304,1000,125.651771
-2.2713435,1000,125.796388
-2.712442,1000,126.30575
-2.570856,1000,126.444081
-2.5625644,1000,127.014283
-2.2173843,1000,127.160997
-2.3696651,1000,127.304429
-2.3240821,1000,127.84924
-3.092391,1000,127.992092
-2.2279243,1000,128.54413
-2.4664962,1000,128.69508
-2.3515697,1000,129.258584
-2.8633792,1000,129.406806
-2.157293,1000,130.032334
-2.6999266,1000,130.176714
-2.3673556,1000,130.771915
-2.242214,1000,130.916362
-3.0243568,1000,131.54173
-2.2465296,1000,131.72095
-2.2233367,1000,132.369324
-2.1858356,1000,132.512997
-1.6778859,1000,133.036033
-2.7401636,1000,133.171603
-2.4249957,1000,133.713749
-2.384639,1000,133.849941
-2.7523096,1000,134.354653
-2.0551326,1000,134.493255
-2.3455322,1000,134.996903
-2.369417,1000,135.181223
-1.7792081,1000,135.719337
-2.1483476,1000,135.859863
-2.2522254,1000,136.390115
-2.7966485,1000,136.532177
-2.6912587,1000,137.10225
-1.9625632,1000,137.244838
-2.3075454,1000,137.778311
