step,theta,theta_dot,wind,wave,action,reward
0,0.00461664330214262,0.056567780673503876,0.27160677313804626,0.08927491307258606,-0.20876756310462952,-0.002710867733007228
1,0.007445032242685556,0.043651796877384186,-0.16108596324920654,0.11622361838817596,-0.3564969599246979,-0.0041854202328235595
2,0.009627621620893478,0.04469071701169014,0.10937172174453735,0.0588264986872673,-0.22885268926620483,-0.00240066008893443
3,0.011862157844007015,0.039234768599271774,0.00852667260915041,0.10934259742498398,-0.3804028630256653,-0.004528052798787925
4,0.013823896646499634,0.015064711682498455,-0.22093622386455536,-0.03258198872208595,-0.3849446177482605,-0.004009131840064565
5,0.014577132649719715,0.013255476951599121,-0.14463579654693604,0.11976924538612366,0.03390011191368103,-0.000329077057367368
6,0.015239906497299671,0.008747977204620838,0.01191663183271885,-0.05849134922027588,-0.030163660645484924,-0.0002932644672530286
7,0.015677304938435555,-0.006905321031808853,-0.23457254469394684,-0.05143844708800316,0.0003577321767807007,-0.0002696228333632756
8,0.015332038514316082,-0.015046519227325916,0.0024426542222499847,-0.05512057989835739,-0.18016546964645386,-0.0011597601941995047
9,0.0145797124132514,0.015319027937948704,0.3882191479206085,0.20134486258029938,0.06644348055124283,-0.00044027273404604293
10,0.015345663763582706,-0.047384895384311676,-0.8133487701416016,-0.37780264019966125,-0.06679597496986389,-0.0014696961016053994
11,0.012976419180631638,-0.05208496376872063,-0.0524316281080246,-0.08443808555603027,0.0843888372182846,-0.001702845997495558
12,0.010372171178460121,-0.0409918874502182,0.06409289687871933,0.043464384973049164,0.21545273065567017,-0.00210824637419567
13,0.008322576992213726,-0.01745976321399212,0.6353515982627869,-0.22240415215492249,0.10551466047763824,-0.0005000205341985126
14,0.007449588738381863,0.000939714431297034,-0.1132815033197403,0.4085543155670166,0.15294143557548523,-0.0006407149732790333
15,0.007496574427932501,0.009449455887079239,0.1940108984708786,0.1326126754283905,-0.28956902027130127,-0.002197100171488865
16,0.00796904694288969,-0.019707834348082542,-0.1542019098997116,-0.3296150267124176,-0.166718527674675,-0.0009525817622058082
17,0.006983655039221048,-0.01589716225862503,0.05023942142724991,0.021802818402647972,0.012541726231575012,-0.00017906368958054434
18,0.006188796833157539,-0.04038125276565552,-0.36820560693740845,-0.1366453319787979,0.035392094403505325,-0.0008849389888078434
19,0.0041697341948747635,-0.04791190102696419,-0.0216131042689085,-0.1889503300189972,0.09808605909347534,-0.0014056836942637433
20,0.0017741391202434897,-0.04088772460818291,-0.029480990022420883,0.019096605479717255,0.2663331627845764,-0.0026123843859654143
21,-0.0002702471101656556,-0.042080070823431015,0.010675870813429356,-0.10125833004713058,0.09790582209825516,-0.0011250779039512343
22,-0.0023742506746202707,-0.017373817041516304,0.17812442779541016,0.17823338508605957,0.23264369368553162,-0.0015096390397130106
23,-0.0032429415732622147,-0.022579235956072807,0.09625449031591415,-0.16364604234695435,-0.0979301854968071,-0.0005051856306850546
24,-0.004371903371065855,-0.010838947258889675,0.21949568390846252,-0.10028800368309021,0.1988881230354309,-0.0010667670653903378
25,-0.00491385068744421,-0.005918990354984999,0.2637481987476349,-0.21435748040676117,0.07406222075223923,-0.00017879346510021527
26,-0.005209800321608782,0.011583756655454636,0.2743401527404785,-0.004012690857052803,0.13879439234733582,-0.0005758308093530283
27,-0.004630612675100565,-0.012584840878844261,-0.37462466955184937,-0.06277989596128464,-0.09598042070865631,-0.000330937710355334
28,-0.005259854719042778,-0.010305343195796013,0.016230683773756027,0.054558269679546356,-0.07687468081712723,-0.00022850903625007564
29,-0.005775121971964836,-0.03781706094741821,-0.2946564257144928,-0.22147460281848907,-0.09429153800010681,-0.0009706894491527757
30,-0.007665975019335747,-0.035730741918087006,0.05987536162137985,-0.09334992617368698,0.09525945782661438,-0.000923969242791615
31,-0.009452512487769127,-0.020075824111700058,0.07065168023109436,0.15190389752388,0.12235686182975769,-0.000665149386815515
32,-0.01045630406588316,-0.03622681275010109,-0.494636207818985,0.05087762326002121,0.19304421544075012,-0.0016971770416952265
33,-0.0122676445171237,-0.014436040073633194,0.3673940896987915,-0.05950536951422691,0.18825775384902954,-0.001140719274942238
