step,theta,theta_dot,wind,wave,action,reward
0,-0.048685118556022644,0.06920775771141052,1.079824447631836,0.4576663374900818,0.3361806869506836,-0.0075905340855756745
1,-0.04522472992539406,0.07335855066776276,-0.19525370001792908,0.3095226287841797,-0.13935385644435883,-0.005221501970227885
2,-0.04155680164694786,0.06538401544094086,0.16872639954090118,-0.22152914106845856,-0.2756914496421814,-0.005764647165442584
3,-0.03828760236501694,0.08376333117485046,0.5865404605865479,-0.12422262132167816,-0.24874940514564514,-0.006520994993113904
4,-0.03409943729639053,0.055550575256347656,-0.19729433953762054,-0.31685870885849,-0.1313035786151886,-0.0031367205342301588
5,-0.03132190927863121,0.06975579261779785,0.2729748487472534,-0.03967922180891037,0.054869651794433594,-0.003489264115280842
6,-0.027834119275212288,0.07167764753103256,0.32717323303222656,-0.24287427961826324,-0.11593364924192429,-0.0036795960454845335
7,-0.02425023727118969,0.05138454958796501,0.07609670609235764,-0.3569096028804779,-0.2619227468967438,-0.003623348172184876
8,-0.021681010723114014,0.07611355185508728,0.5048789978027344,0.07521403580904007,-0.19239211082458496,-0.004292070675845879
9,-0.01787533238530159,0.08559862524271011,0.19834260642528534,0.16420157253742218,-0.33461499214172363,-0.00678226945100144
10,-0.0135954013094306,0.06525172293186188,-0.6064544916152954,0.3132723867893219,-0.19553911685943604,-0.003269617495305603
11,-0.01033281534910202,0.09310957789421082,1.2340216636657715,-0.6553770303726196,-0.018509581685066223,-0.00445002911913974
12,-0.005677336361259222,0.002763280412182212,-1.0376468896865845,-0.6019325852394104,-0.27258187532424927,-0.001893571977446575
13,-0.005539172329008579,0.029223084449768066,0.5048753619194031,0.05148626118898392,-0.06859979033470154,-0.0005753250251522198
14,-0.0040780180133879185,0.07232271879911423,0.6470054388046265,0.2889723479747772,-0.1353646218776703,-0.0030900076949927774
15,-0.000461882067611441,0.07553216069936752,0.12634308636188507,0.1136152595281601,-0.29145047068595886,-0.00497635117922385
16,0.0033147260546684265,0.0761076956987381,-0.1018562987446785,0.34738409519195557,-0.39388763904571533,-0.006785864919948993
17,0.007120111025869846,0.025914732366800308,-0.6778295636177063,-0.1687435358762741,-0.2285204380750656,-0.0016920224246959553
18,0.008415848016738892,0.06331881135702133,0.1457633078098297,0.7205683588981628,-0.18922516703605652,-0.0029706163942108134
19,0.011581788770854473,0.010973861441016197,-0.4586784839630127,-0.431624174118042,-0.2246263176202774,-0.0014557752132568283
20,0.012130482122302055,0.007183530367910862,-0.3379723131656647,0.3877088725566864,-0.20536713302135468,-0.0012273416280215678
21,0.012489658780395985,0.028507836163043976,-0.1410033106803894,0.5297387838363647,0.11907622218132019,-0.000916818616330971
22,0.013915050774812698,-0.012330104596912861,-1.1235177516937256,0.451409250497818,-0.22332392632961273,-0.0015164837792942356
23,0.013298545964062214,-0.0071519287303090096,0.6209197640419006,-0.5674662590026855,0.12963514029979706,-0.000622558096982915
24,0.012940949760377407,0.02040199749171734,0.09214913100004196,0.48630306124687195,-0.022003602236509323,-0.0003876928942625435
25,0.013961049728095531,0.04227925091981888,0.05275142565369606,0.3998805582523346,0.029050976037979126,-0.001109777395829807
26,0.0160750113427639,0.11175660789012909,1.4249321222305298,0.10957290232181549,-0.20575334131717682,-0.007561536881640459
27,0.021662842482328415,0.07066898792982101,-0.1682293862104416,-0.308420866727829,-0.5302226543426514,-0.009994733214797222
28,0.025196291506290436,0.07635051012039185,0.3888387680053711,-0.07869202643632889,-0.25737497210502625,-0.005205600407695835
29,0.02901381626725197,0.054381243884563446,-0.10724782198667526,-0.04210391268134117,-0.42812779545783997,-0.006902796654174504
30,0.03173287957906723,0.04158177599310875,0.38992178440093994,-0.42653584480285645,-0.2973279654979706,-0.004081595548401406
31,0.03381196781992912,-0.06592345982789993,-0.9179258942604065,-0.9735506772994995,-0.38047587871551514,-0.006935247852342393
32,0.030515795573592186,-0.028769243508577347,0.7192025184631348,0.029517343267798424,0.024241328239440918,-0.0013597394708005244
33,0.029077332466840744,0.017418280243873596,0.906071662902832,-0.003582519246265292,0.10530085861682892,-0.0012743963413371633
34,0.029948245733976364,-0.00010611351899569854,-0.44529327750205994,0.19117172062397003,-0.08808236569166183,-0.0010908656758545003
35,0.029942940920591354,-0.03156820312142372,-0.04595304653048515,-0.5016746520996094,-0.07348955422639847,-0.0015298732629145822
36,0.028364531695842743,-0.02068151719868183,-0.5310399532318115,0.7067117094993591,0.14238448441028595,-0.001525242725547953
37,0.02733045630156994,-0.0036631450057029724,0.2126103639602661,0.16655461490154266,-0.013182979077100754,-0.0007580079055067718
38,0.02714729867875576,-0.02732941135764122,-0.16593103110790253,-0.2758878171443939,0.015315314754843712,-0.0011162881581891614
39,0.025780828669667244,-0.0011156209511682391,0.5349934697151184,-0.041850581765174866,0.1163782849907875,-0.0010038710335539642
40,0.025725048035383224,-0.02806166745722294,-0.4554648697376251,-0.05365140736103058,0.01661757007241249,-0.0010624102452775365
41,0.024321964010596275,-0.05339045822620392,-0.543363630771637,0.0760183334350586,-0.029347658157348633,-0.0020383606768939935
42,0.02165244147181511,-0.031659819185733795,0.6775366067886353,-0.33443406224250793,0.20259594917297363,-0.001996128264797406
43,0.02006945013999939,-0.00707643199712038,0.8571264147758484,-0.2670479714870453,-0.1635238528251648,-0.001096322049552849
44,0.019715627655386925,-0.017084982246160507,0.0920472964644432,-0.33455461263656616,0.13780450820922852,-0.0010094063907533381
45,0.018861379474401474,-0.02496696636080742,-0.13334110379219055,0.018961764872074127,-0.044458817690610886,-0.0007168409815771138
46,0.017613030970096588,-0.05144910141825676,-0.2608109712600708,-0.28115516901016235,0.056264009326696396,-0.001712864869351389
47,0.01504057552665472,-0.08271706849336624,-0.4067317247390747,-0.32846397161483765,0.22106263041496277,-0.004868992934637823
48,0.010904721915721893,-0.1250573992729187,-0.9420480132102966,-0.10518784075975418,0.3632631003856659,-0.01123759154466131
49,0.004651851952075958,-0.08461334556341171,0.24069492518901825,0.36336076259613037,0.31730756163597107,-0.006118450985881811
50,0.00042118466808460653,-0.005194003693759441,0.3882616460323334,0.9829345941543579,0.36372339725494385,-0.003321033975922825
51,0.00016148448048625141,-0.0014173171948641539,0.19120898842811584,-0.18253356218338013,0.1297861635684967,-0.0004221416775906635
52,9.061861783266068e-05,0.03470899164676666,1.1229808330535889,-0.4188872277736664,0.03593236207962036,-0.0006346435951939948
53,0.001826068153604865,0.04229094088077545,0.5810865759849548,-0.38205790519714355,-0.05979849770665169,-0.0009869928747030883
54,0.003940615337342024,0.007983083836734295,0.2124669998884201,-0.7873587012290955,-0.17476174235343933,-0.0008109349229558044
55,0.00433976948261261,0.028092684224247932,0.5395642518997192,-0.06329904496669769,-0.128341406583786,-0.0008252209726585847
56,0.0057444036938250065,0.026862258091568947,-0.5806089043617249,0.6713676452636719,-0.18962255120277405,-0.0012927064042204336
57,0.007087516598403454,0.048689104616642,0.4592128098011017,0.018323134630918503,-0.037902623414993286,-0.0012714624888132467
58,0.009521971456706524,0.017098713666200638,-0.4472660422325134,-0.017345035448670387,-0.2644418478012085,-0.001985088222520953
59,0.01037690695375204,0.020547499880194664,-0.09835726022720337,0.28991058468818665,-0.19949057698249817,-0.0013136923482819864
60,0.011404281482100487,0.02609262987971306,0.47884511947631836,-0.26710253953933716,-0.1500016748905182,-0.0010329828872342808
61,0.01270891260355711,-0.004467499442398548,-0.3296223282814026,-0.21282613277435303,-0.07720276713371277,-0.0003205024264091857
62,0.012485537678003311,-0.055822066962718964,-0.8095903396606445,-0.23662994801998138,0.07191714644432068,-0.0018432421188969827
63,0.009694434702396393,-0.041880346834659576,-0.05544484034180641,0.2763807773590088,0.09743146598339081,-0.0012082860547024709
64,0.007600417360663414,-0.015311022289097309,0.7922276854515076,-0.3233383595943451,0.11219727247953415,-0.0004896857375101705
65,0.006834866479039192,-0.004004687070846558,0.33058592677116394,-0.17778272926807404,0.1541372537612915,-0.0006486914815057619
66,0.006634632125496864,0.056706566363573074,1.245112657546997,-0.01948941871523857,-0.006296489387750626,-0.0016528267609609974
67,0.009469960816204548,0.04607367143034935,0.30127617716789246,-0.37446486949920654,-0.2023279070854187,-0.002174486380013863
68,0.011773644015192986,0.024140002205967903,-0.4864136874675751,0.08067812025547028,0.008607909083366394,-0.0004318409625474053
69,0.012980643659830093,0.013873647898435593,-0.2304326742887497,0.14131543040275574,-0.17295876145362854,-0.0010126045074951174
70,0.013674326241016388,-0.026329563930630684,-0.9370944499969482,0.2648019790649414,-0.21072793006896973,-0.00164376667606739
