step,theta,theta_dot,wind,wave,action,reward
0,-0.048685118556022644,0.02930617146193981,0.539912223815918,0.2288331687450409,0.27760788798332214,-0.004726319962120008
1,-0.047219809144735336,0.03993842750787735,-0.09712684899568558,0.15476131439208984,0.19327209889888763,-0.003961102029922284
2,-0.04522288590669632,0.042456965893507004,0.08536320179700851,-0.11076457053422928,0.049823302775621414,-0.0030084656288365762
3,-0.043100036680698395,0.05499045550823212,0.2947702407836914,-0.06211131066083908,-0.05718989670276642,-0.0034513555337677654
4,-0.04035051539540291,0.04312259331345558,-0.09664717316627502,-0.158429354429245,-0.03887109458446503,-0.002595717052723418
5,-0.038194384425878525,0.05005741864442825,0.13898742198944092,-0.019839610904455185,-0.03883158043026924,-0.0027493809494605207
6,-0.0356915146112442,0.052035853266716,0.16658660769462585,-0.12143713980913162,-0.07568726688623428,-0.0027709632479830733
7,-0.03308972343802452,0.04558736830949783,0.04154835268855095,-0.17845480144023895,-0.03916524350643158,-0.002172381608094631
8,-0.03081035427749157,0.05790654197335243,0.2564394772052765,0.037607017904520035,-0.1490079164505005,-0.003180945695454978
9,-0.027915026992559433,0.06802935153245926,0.10367130488157272,0.08210078626871109,-0.001156434416770935,-0.0030932782968301465
10,-0.02451355941593647,0.053847212344408035,-0.2982272505760193,0.15663619339466095,-0.2998192310333252,-0.004297964968246682
11,-0.021821198984980583,0.06655824184417725,0.6225108504295349,-0.3276885151863098,-0.10089710354804993,-0.0029456699204564777
12,-0.01849328726530075,0.017779799178242683,-0.5128234624862671,-0.3009662926197052,-0.32246360182762146,-0.0030996316583581786
13,-0.017604297026991844,0.032473932951688766,0.25893765687942505,0.02574313059449196,-0.01929634064435959,-0.0008464981391073822
14,-0.01598060131072998,0.05334368720650673,0.3305027186870575,0.1444861739873886,-0.13552658259868622,-0.0021373404605952166
15,-0.013313417322933674,0.05763216316699982,0.07067154347896576,0.05680762976408005,-0.07801736146211624,-0.001990147993648671
16,-0.010431809350848198,0.05695008859038353,-0.042928148061037064,0.17369204759597778,-0.27111881971359253,-0.0035681143518525313
17,-0.007584305014461279,0.031471554189920425,-0.3304148018360138,-0.08437176793813705,-0.16391360759735107,-0.0012244428118640092
18,-0.006010727491229773,0.04926011338829994,0.08188165724277496,0.3602841794490814,-0.16407062113285065,-0.0019223874795023573
19,-0.0035477217752486467,0.025000449270009995,-0.21983923017978668,-0.215812087059021,-0.06785594671964645,-0.00044020832086347493
20,-0.0022976992186158895,0.022803205996751785,-0.1589861661195755,0.1938544362783432,-0.14326900243759155,-0.0007784227038431443
21,-0.001157538965344429,0.02679532952606678,-0.06000165268778801,0.2648693919181824,-0.23414044082164764,-0.0017308783981165217
22,0.00018222750804852694,0.006502590607851744,-0.5507588386535645,0.225704625248909,-0.13827839493751526,-0.0004991979110801115
23,0.0005073570646345615,0.008008169010281563,0.32195988297462463,-0.2837331295013428,-0.009181061759591103,-3.4430093397975207e-05
24,0.0009077655267901719,0.027425341308116913,0.05807456746697426,0.24315153062343597,0.1837649643421173,-0.0012211377766502582
25,0.002279032487422228,0.03428249806165695,0.03887571394443512,0.1999402791261673,-0.17319709062576294,-0.0013427696274816128
26,0.003993157297372818,0.06645582616329193,0.7254660725593567,0.054786451160907745,-0.2324523776769638,-0.0035749863398449678
27,0.0073159486055374146,0.05132918804883957,-0.07061469554901123,-0.1542104333639145,-0.07697997987270355,-0.0015190138021634505
